[2024-03-04 01:04:01,912] : Round: 94, Max accuracy: 0.00%, Current accuracy: 53.55%
[2024-03-04 01:04:07,879] : Round: 95, Max accuracy: 0.00%, Current accuracy: 57.42%
[2024-03-04 01:04:10,034] : Round: 96, Max accuracy: 0.00%, Current accuracy: 62.65%
[2024-03-04 01:04:25,295] : Round: 97, Max accuracy: 0.00%, Current accuracy: 63.01%
[2024-03-04 01:04:39,458] : Round: 98, Max accuracy: 0.00%, Current accuracy: 65.21%
[2024-03-04 01:04:45,212] : Round: 99, Max accuracy: 0.00%, Current accuracy: 61.92%
[2024-03-04 01:04:58,855] : Round: 100, Max accuracy: 0.00%, Current accuracy: 58.02%
[2024-03-04 01:05:06,982] : Round: 101, Max accuracy: 0.00%, Current accuracy: 52.98%
[2024-03-04 01:05:27,443] : Round: 102, Max accuracy: 0.00%, Current accuracy: 52.61%
[2024-03-04 01:05:32,284] : Round: 103, Max accuracy: 0.00%, Current accuracy: 50.93%
[2024-03-04 01:05:34,460] : Round: 104, Max accuracy: 0.00%, Current accuracy: 50.82%
[2024-03-04 01:05:51,959] : Round: 105, Max accuracy: 0.00%, Current accuracy: 55.22%
[2024-03-04 01:05:57,723] : Round: 106, Max accuracy: 0.00%, Current accuracy: 56.04%
[2024-03-04 01:06:00,183] : Round: 107, Max accuracy: 0.00%, Current accuracy: 56.02%
[2024-03-04 01:06:13,514] : Round: 108, Max accuracy: 0.00%, Current accuracy: 55.62%
[2024-03-04 01:06:19,651] : Round: 109, Max accuracy: 0.00%, Current accuracy: 55.73%
[2024-03-04 01:06:29,815] : Round: 110, Max accuracy: 0.00%, Current accuracy: 52.77%
[2024-03-04 01:06:36,523] : Round: 111, Max accuracy: 0.00%, Current accuracy: 52.89%
[2024-03-04 01:06:43,443] : Round: 112, Max accuracy: 0.00%, Current accuracy: 53.23%
[2024-03-04 01:06:51,716] : Round: 113, Max accuracy: 0.00%, Current accuracy: 53.47%
[2024-03-04 01:06:57,879] : Round: 114, Max accuracy: 0.00%, Current accuracy: 56.20%
[2024-03-04 01:07:13,616] : Round: 115, Max accuracy: 0.00%, Current accuracy: 59.95%
[2024-03-04 01:07:24,975] : Round: 116, Max accuracy: 0.00%, Current accuracy: 63.68%
[2024-03-04 01:07:29,176] : Round: 117, Max accuracy: 0.00%, Current accuracy: 64.70%
[2024-03-04 01:07:38,310] : Round: 118, Max accuracy: 0.00%, Current accuracy: 66.39%
[2024-03-04 01:07:49,389] : Round: 119, Max accuracy: 0.00%, Current accuracy: 63.60%
[2024-03-04 01:07:51,421] : Round: 120, Max accuracy: 0.00%, Current accuracy: 61.83%
[2024-03-04 01:07:59,941] : Round: 121, Max accuracy: 0.00%, Current accuracy: 59.97%
[2024-03-04 01:08:19,643] : Round: 122, Max accuracy: 0.00%, Current accuracy: 63.48%
[2024-03-04 01:08:24,405] : Round: 123, Max accuracy: 0.00%, Current accuracy: 63.55%
[2024-03-04 01:08:47,816] : Round: 124, Max accuracy: 0.00%, Current accuracy: 65.82%
[2024-03-04 01:08:49,650] : Round: 125, Max accuracy: 0.00%, Current accuracy: 63.44%
[2024-03-04 01:09:15,235] : Round: 126, Max accuracy: 0.00%, Current accuracy: 65.34%
[2024-03-04 01:09:17,105] : Round: 127, Max accuracy: 0.00%, Current accuracy: 61.19%
[2024-03-04 01:09:19,066] : Round: 128, Max accuracy: 0.00%, Current accuracy: 63.04%
[2024-03-04 01:09:39,044] : Round: 129, Max accuracy: 0.00%, Current accuracy: 63.67%
[2024-03-04 01:09:42,463] : Round: 130, Max accuracy: 0.00%, Current accuracy: 66.96%
